Balancing,Kappa,Dataset,F-Measure,FN,FP,Classifier,# Training Releases,Test Defective %,AUC,Feature Selection,Sensitivity,Accuracy,Precision,FP Rate,Training Defective %,TN,Recall,Training %,TP,TP Rate,Test Release
SMOTE,-0.01822916666666663,BOOKKEEPER,0.636954503249768,41.0,350.0,NaiveBayes,2.0,0.20347394540942929,0.571075439453125,false,false,0.49088541666666663,0.494949494949495,0.9114583333333334,0.16837782340862423,34.0,0.8932291666666666,0.547191011235955,343.0,0.8932291666666666,3.0
SMOTE,-0.0390625,BOOKKEEPER,0.08695652173913042,365.0,34.0,IBk,2.0,0.20347394540942929,0.5064866807725694,false,false,0.48046875,0.3584905660377358,0.08854166666666667,0.16837782340862423,350.0,0.049479166666666664,0.547191011235955,19.0,0.049479166666666664,3.0
SMOTE,-0.01822916666666663,BOOKKEEPER,0.1733615221987315,343.0,48.0,RandomForest,2.0,0.20347394540942929,0.5910983615451388,false,false,0.49088541666666663,0.4606741573033708,0.125,0.16837782340862423,336.0,0.10677083333333333,0.547191011235955,41.0,0.10677083333333333,3.0
SMOTE,0.22799999999999998,BOOKKEEPER,0.4133738601823709,182.0,11.0,NaiveBayes,1.0,0.2720306513409962,0.602264,false,false,0.614,0.8607594936708861,0.044,0.31555555555555553,239.0,0.272,0.46296296296296297,68.0,0.272,2.0
SMOTE,0.1439999999999999,BOOKKEEPER,0.45408163265306123,161.0,53.0,IBk,1.0,0.2720306513409962,0.551888,false,false,0.5720000000000001,0.6267605633802817,0.212,0.31555555555555553,197.0,0.356,0.46296296296296297,89.0,0.356,2.0
SMOTE,0.19599999999999995,BOOKKEEPER,0.48062015503875977,157.0,44.0,RandomForest,1.0,0.2720306513409962,0.548576,false,false,0.598,0.6788321167883211,0.176,0.31555555555555553,206.0,0.372,0.46296296296296297,93.0,0.372,2.0
SMOTE,0.47807933194154484,BOOKKEEPER,0.7300215982721382,141.0,109.0,NaiveBayes,4.0,0.2774566473988439,0.8079789575533579,false,false,0.7390396659707724,0.756152125279642,0.22755741127348644,0.10271041369472182,370.0,0.7056367432150313,0.7298282144716294,338.0,0.7056367432150313,5.0
SMOTE,0.2296450939457202,BOOKKEEPER,0.46444121915820025,319.0,50.0,IBk,4.0,0.2774566473988439,0.6802620281466695,false,false,0.6148225469728601,0.7619047619047619,0.10438413361169102,0.10271041369472182,429.0,0.33402922755741127,0.7298282144716294,160.0,0.33402922755741127,5.0
SMOTE,0.12734864300626314,BOOKKEEPER,0.32142857142857145,380.0,38.0,RandomForest,4.0,0.2774566473988439,0.7767792155717592,false,false,0.5636743215031315,0.7226277372262774,0.07933194154488518,0.10271041369472182,441.0,0.20668058455114824,0.7298282144716294,99.0,0.20668058455114824,5.0
false,-0.051583141119731564,BOOKKEEPER,0.0,41.0,18.0,NaiveBayes,3.0,0.2,0.48081023454157784,false,SensitiveThreshold,0.8843137254901962,0.0,0.03837953091684435,0.11447811447811448,451.0,0.0,0.6359743040685225,0.0,0.0,4.0
false,-0.017787418655097323,BOOKKEEPER,0.0,41.0,5.0,IBk,3.0,0.2,0.4946695095948827,false,SensitiveThreshold,0.9098039215686274,0.0,0.010660980810234541,0.11447811447811448,464.0,0.0,0.6359743040685225,0.0,0.0,4.0
false,0.0,BOOKKEEPER,NaN,41.0,0.0,RandomForest,3.0,0.2,0.5,false,SensitiveThreshold,0.9196078431372549,NaN,0.0,0.11447811447811448,469.0,0.0,0.6359743040685225,0.0,0.0,4.0
false,0.04757243539545651,BOOKKEEPER,0.05405405405405405,34.0,1.0,NaiveBayes,5.0,0.3327338129496403,0.5133260213874418,false,SensitiveThreshold,0.9370503597122303,0.5,0.0019193857965451055,0.09625390218522373,520.0,0.02857142857142857,0.7756255044390638,1.0,0.02857142857142857,6.0
false,0.34123222748815196,BOOKKEEPER,0.3908045977011494,18.0,35.0,IBk,5.0,0.3327338129496403,0.7092678914176035,false,SensitiveThreshold,0.9046762589928058,0.3269230769230769,0.0671785028790787,0.09625390218522373,486.0,0.4857142857142857,0.7756255044390638,17.0,0.4857142857142857,6.0
false,0.0,BOOKKEEPER,NaN,35.0,0.0,RandomForest,5.0,0.3327338129496403,0.5,false,SensitiveThreshold,0.9370503597122303,NaN,0.0,0.09625390218522373,521.0,0.0,0.7756255044390638,0.0,0.0,6.0
false,-0.016672150926839574,BOOKKEEPER,0.0,19.0,4.0,NaiveBayes,2.0,0.20347394540942929,0.4947916666666667,false,SensitiveThreshold,0.9429280397022333,0.0,0.010416666666666666,0.16837782340862423,380.0,0.0,0.547191011235955,0.0,0.0,3.0
false,-0.03087885985748189,BOOKKEEPER,0.03448275862068966,18.0,38.0,IBk,2.0,0.20347394540942929,0.47683662280701755,false,SensitiveThreshold,0.8610421836228288,0.02564102564102564,0.09895833333333333,0.16837782340862423,346.0,0.05263157894736842,0.547191011235955,1.0,0.05263157894736842,3.0
false,0.0,BOOKKEEPER,NaN,19.0,0.0,RandomForest,2.0,0.20347394540942929,0.5,false,SensitiveThreshold,0.9528535980148883,NaN,0.0,0.16837782340862423,384.0,0.0,0.547191011235955,0.0,0.0,3.0
false,0.247187770406692,BOOKKEEPER,0.2857142857142857,7.0,13.0,NaiveBayes,1.0,0.2720306513409962,0.6558181818181819,false,SensitiveThreshold,0.9233716475095786,0.23529411764705882,0.052,0.31555555555555553,237.0,0.36363636363636365,0.46296296296296297,4.0,0.36363636363636365,2.0
false,0.08058124174372511,BOOKKEEPER,0.14285714285714285,7.0,41.0,IBk,1.0,0.2720306513409962,0.5998181818181818,false,SensitiveThreshold,0.8160919540229885,0.08888888888888889,0.164,0.31555555555555553,209.0,0.36363636363636365,0.46296296296296297,4.0,0.36363636363636365,2.0
